#N = 14  // 15 nodes, 14 segments
#func = sin(x)*exp(-0.3*x)
#a = 0.0  b = 10.0
# r > -1 required; r=3 -> classical cubic Hermite
#               x                   f                  df       r
        0.0000000000    0.0000000000e+00    1.0000000000e+00    3.00
        0.7142857143    5.2872499648e-01    4.5120947293e-01    3.00
        1.4285714286    6.4486152712e-01   -1.0111964442e-01    3.00
        2.1428571429    4.4207579132e-01   -4.1726644690e-01    3.00
        2.8571428571    1.1909149685e-01   -4.4304738170e-01    3.00
        3.5714285714   -1.4273502305e-01   -2.6854082544e-01    3.00
        4.2857142857   -2.5166818624e-01   -3.8908508037e-02    3.00
        5.0000000000   -2.1396492698e-01    1.2748306696e-01    3.00
        5.7142857143   -9.7016680952e-02    1.8083174719e-01    3.00
        6.4285714286    2.1058332842e-02    1.3750470462e-01    3.00
        7.1428571429    8.8884333903e-02    4.9907292313e-02    3.00
        7.8571428571    9.4689907883e-02   -2.8706309293e-02    3.00
        8.5714285714    5.7586192875e-02   -6.7523322807e-02    3.00
        9.2857142857    8.5505228966e-03   -6.3654675886e-02    3.00
       10.0000000000   -2.7085216241e-02   -3.3649346711e-02    3.00
