#N = 14  // 15 nodes, 14 segments
#func = tanh(5*x)
#deriv = 5/cosh^2(5*x)
#a = -2.0  b = 2.0
#             x                   f                  df     sigma
     -2.0000000000   -9.9999999588e-01    4.1223072279e-08    1.0000
     -1.7142857143   -9.9999992822e-01    7.1776405143e-07    1.0000
     -1.4285714286   -9.9999875025e-01    1.2497483400e-05    1.0000
     -1.1428571429   -9.9997823996e-01    2.1759806942e-04    1.0000
     -0.8571428571   -9.9962118811e-01    3.7874013843e-03    1.0000
     -0.5714285714   -9.9342467723e-01    6.5537053371e-02    1.0000
     -0.2857142857   -8.9137346773e-01    1.0272667051e+00    1.0000
      0.0000000000    0.0000000000e+00    5.0000000000e+00    1.0000
      0.2857142857    8.9137346773e-01    1.0272667051e+00    1.0000
      0.5714285714    9.9342467723e-01    6.5537053371e-02    1.0000
      0.8571428571    9.9962118811e-01    3.7874013843e-03    1.0000
      1.1428571429    9.9997823996e-01    2.1759806942e-04    1.0000
      1.4285714286    9.9999875025e-01    1.2497483400e-05    1.0000
      1.7142857143    9.9999992822e-01    7.1776405143e-07    1.0000
      2.0000000000    9.9999999588e-01    4.1223072279e-08    1.0000
