#N = 14  // 15 nodes, 14 segments
#func = sin(2*pi*x)*exp(-x^2)
#a = -2.0  b = 2.0
# r > -1 required; r=3 -> classical cubic Hermite
#               x                   f                  df       r
       -2.0000000000    8.9720754158e-18    1.1508055316e-01    10.0
       -1.7142857143    5.1603423740e-02    1.0292175837e-01    10.0
       -1.4285714286   -5.6371307087e-02   -8.9654683243e-01    10.0
       -1.1428571429   -2.1177338680e-01    5.7707375274e-01    10.0
       -0.8571428571    3.7500724441e-01    2.5219082662e+00    10.0
       -0.5714285714    3.1301340082e-01   -3.7262090540e+00    10.0
       -0.2857142857   -8.9850374923e-01   -1.8019713868e+00    10.0
        0.0000000000    0.0000000000e+00    6.2831853072e+00    10.0
        0.2857142857    8.9850374923e-01   -1.8019713868e+00    10.0
        0.5714285714   -3.1301340082e-01   -3.7262090540e+00    10.0
        0.8571428571   -3.7500724441e-01    2.5219082662e+00    10.0
        1.1428571429    2.1177338680e-01    5.7707375274e-01    10.0
        1.4285714286    5.6371307087e-02   -8.9654683243e-01    10.0
        1.7142857143   -5.1603423740e-02    1.0292175837e-01    10.0
        2.0000000000   -8.9720754158e-18    1.1508055316e-01    10.0
