#N = 14  // 15 nodes, 14 segments
#func = 1/(1+25*x^2)
#deriv = -50*x/(1+25*x^2)^2
#a = -1.0  b = 1.0
#             x                   f                  df     sigma
     -1.0000000000    3.8461538462e-02    7.3964497041e-02    1.0000
     -0.8571428571    5.1633298209e-02    1.1425703502e-01    1.0000
     -0.7142857143    7.2700296736e-02    1.8876189805e-01    1.0000
     -0.5714285714    1.0913140312e-01    3.4027608990e-01    1.0000
     -0.4285714286    1.7883211679e-01    6.8530555704e-01    1.0000
     -0.2857142857    3.2885906040e-01    1.5449754516e+00    1.0000
     -0.1428571429    6.6216216216e-01    3.1318480643e+00    1.0000
      0.0000000000    1.0000000000e+00   -0.0000000000e+00    1.0000
      0.1428571429    6.6216216216e-01   -3.1318480643e+00    1.0000
      0.2857142857    3.2885906040e-01   -1.5449754516e+00    1.0000
      0.4285714286    1.7883211679e-01   -6.8530555704e-01    1.0000
      0.5714285714    1.0913140312e-01   -3.4027608990e-01    1.0000
      0.7142857143    7.2700296736e-02   -1.8876189805e-01    1.0000
      0.8571428571    5.1633298209e-02   -1.1425703502e-01    1.0000
      1.0000000000    3.8461538462e-02   -7.3964497041e-02    1.0000
