#N = 14  // 15 nodes, 14 segments
#func = exp(-x^2/2)*cos(3*pi*x)
#a = -2.0  b = 2.0
# r > -1 required; r=3 -> classical cubic Hermite
#               x                   f                  df       r
       -2.0000000000    1.3533528324e-01    2.7067056647e-01    3.35
       -1.7142857143   -2.0728257295e-01   -1.2961419848e+00    6.55
       -1.4285714286    2.2473552029e-01    2.9770420380e+00    6.45
       -1.1428571429   -1.1581104701e-01   -4.9145005419e+00    8.50
       -0.8571428571   -1.5411117285e-01    6.2315634698e+00    6.40
       -0.5714285714    5.2957092468e-01   -5.9560149128e+00    6.50
       -0.2857142857   -8.6493501562e-01    3.6785855465e+00    3.35
        0.0000000000    1.0000000000e+00   -0.0000000000e+00    3.35
        0.2857142857   -8.6493501562e-01   -3.6785855465e+00    3.35
        0.5714285714    5.2957092468e-01    5.9560149128e+00    3.35
        0.8571428571   -1.5411117285e-01   -6.2315634698e+00    7.90
        1.1428571429   -1.1581104701e-01    4.9145005419e+00    5.95
        1.4285714286    2.2473552029e-01   -2.9770420380e+00    3.35
        1.7142857143   -2.0728257295e-01    1.2961419848e+00    3.35
        2.0000000000    1.3533528324e-01   -2.7067056647e-01    3.35
