#N = 14  // 15 nodes, 14 segments
#func = x*exp(-x/2)*sin(pi*x)
#a = 0.0  b = 4.0
# r > -1 required; r=3 -> classical cubic Hermite
#               x                   f                  df       r
        0.0000000000    0.0000000000e+00    0.0000000000e+00    3.00
        0.2857142857    1.9364355242e-01    1.0660729249e+00    3.00
        0.5714285714    4.1864925051e-01    2.2311994599e-01    3.00
        0.8571428571    2.4227041208e-01   -1.4189578641e+00    3.00
        1.1428571429   -2.8002515466e-01   -1.9317771536e+00    3.00
        1.4285714286   -6.8181118297e-01   -6.2525359697e-01    3.00
        1.7142857143   -5.6877951609e-01    1.3775858118e+00    3.00
        2.0000000000   -1.8020895204e-16    2.3114546996e+00    3.00
        2.2857142857    5.6989985481e-01    1.3921721895e+00    3.00
        2.5714285714    6.9305603546e-01   -5.7396068578e-01    3.00
        2.8571428571    2.9708767936e-01   -1.9826396918e+00    3.00
        3.1428571429   -2.8329261787e-01   -1.7965755438e+00    3.00
        3.4285714286   -6.0197836074e-01   -3.0623523459e-01    3.00
        3.7142857143   -4.5335829615e-01    1.2404362503e+00    3.00
        4.0000000000   -2.6518067428e-16    1.7006733264e+00    3.00
